mes;hora;qtd_clientes;qtd_produtos;total_venda;ano;mes_num;dia;dia_semana;final_semana;turno;ticket_medio;prod_por_cliente
2026-01-01;1900-01-01 08:00:00;0;0;0,0;2026;1;1;3;0;Manhã;0,0;0,0
2026-01-01;1900-01-01 09:00:00;9;15;119,7;2026;1;1;3;0;Manhã;13,3;1,6666666666666667
2026-01-01;1900-01-01 10:00:00;26;57;333,55;2026;1;1;3;0;Manhã;12,828846153846154;2,1923076923076925
2026-01-01;1900-01-01 11:00:00;83;157;1129,32;2026;1;1;3;0;Manhã;13,606265060240963;1,891566265060241
2026-01-01;1900-01-01 12:00:00;129;280;1774,58;2026;1;1;3;0;Tarde;13,756434108527131;2,1705426356589146
2026-01-01;1900-01-01 13:00:00;132;327;1794,1;2026;1;1;3;0;Tarde;13,591666666666667;2,477272727272727
2026-01-01;1900-01-01 14:00:00;164;433;2291,77;2026;1;1;3;0;Tarde;13,974207317073171;2,6402439024390243
2026-01-01;1900-01-01 15:00:00;124;332;1927,4;2026;1;1;3;0;Tarde;15,543548387096775;2,6774193548387095
2026-01-01;1900-01-01 16:00:00;90;232;1278,38;2026;1;1;3;0;Tarde;14,204222222222224;2,577777777777778
2026-01-01;1900-01-01 17:00:00;127;319;1767,23;2026;1;1;3;0;Tarde;13,9151968503937;2,5118110236220472
2026-01-01;1900-01-01 18:00:00;145;336;2068,87;2026;1;1;3;0;Noite;14,26806896551724;2,317241379310345
2026-01-01;1900-01-01 19:00:00;140;378;1951,15;2026;1;1;3;0;Noite;13,936785714285715;2,7
2026-01-01;1900-01-01 20:00:00;147;404;3054,26;2026;1;1;3;0;Noite;20,77727891156463;2,748299319727891
2026-01-01;1900-01-01 21:00:00;15;26;230,32;2026;1;1;3;0;Noite;15,354666666666667;1,7333333333333334
2026-02-01;1900-01-01 08:00:00;2;5;41,54;2026;2;1;6;1;Manhã;20,77;2,5
2026-02-01;1900-01-01 09:00:00;12;44;227,84;2026;2;1;6;1;Manhã;18,986666666666668;3,6666666666666665
2026-02-01;1900-01-01 10:00:00;97;199;1334,07;2026;2;1;6;1;Manhã;13,753298969072164;2,051546391752577
2026-02-01;1900-01-01 11:00:00;186;474;2884,43;2026;2;1;6;1;Manhã;15,507688172043009;2,5483870967741935
2026-02-01;1900-01-01 12:00:00;302;747;4404,59;2026;2;1;6;1;Tarde;14,584735099337749;2,4735099337748343
2026-02-01;1900-01-01 13:00:00;299;749;4131,9;2026;2;1;6;1;Tarde;13,8190635451505;2,5050167224080266
2026-02-01;1900-01-01 14:00:00;250;597;3222,33;2026;2;1;6;1;Tarde;12,88932;2,388
2026-02-01;1900-01-01 15:00:00;206;563;3301,65;2026;2;1;6;1;Tarde;16,02742718446602;2,733009708737864
2026-02-01;1900-01-01 16:00:00;195;481;2470,31;2026;2;1;6;1;Tarde;12,66825641025641;2,466666666666667
2026-02-01;1900-01-01 17:00:00;203;475;2807,33;2026;2;1;6;1;Tarde;13,829211822660097;2,3399014778325125
2026-02-01;1900-01-01 18:00:00;251;683;3894,1;2026;2;1;6;1;Noite;15,514342629482071;2,7211155378486054
2026-02-01;1900-01-01 19:00:00;259;677;3922,35;2026;2;1;6;1;Noite;15,144208494208494;2,613899613899614
2026-02-01;1900-01-01 20:00:00;177;419;2647,66;2026;2;1;6;1;Noite;14,958531073446327;2,367231638418079
2026-02-01;1900-01-01 21:00:00;20;56;508,35;2026;2;1;6;1;Noite;25,4175;2,8
2026-03-01;1900-01-01 08:00:00;5;12;55,21;2026;3;1;6;1;Manhã;11,042;2,4
2026-03-01;1900-01-01 09:00:00;53;146;868,55;2026;3;1;6;1;Manhã;16,387735849056604;2,7547169811320753
2026-03-01;1900-01-01 10:00:00;183;439;2968,63;2026;3;1;6;1;Manhã;16,222021857923497;2,398907103825137
2026-03-01;1900-01-01 11:00:00;285;730;4409,56;2026;3;1;6;1;Manhã;15,472140350877194;2,56140350877193
2026-03-01;1900-01-01 12:00:00;308;886;5081,7;2026;3;1;6;1;Tarde;16,499025974025972;2,8766233766233764
2026-03-01;1900-01-01 13:00:00;223;556;3218,43;2026;3;1;6;1;Tarde;14,432421524663676;2,493273542600897
2026-03-01;1900-01-01 14:00:00;175;441;2542,65;2026;3;1;6;1;Tarde;14,529428571428571;2,52
2026-03-01;1900-01-01 15:00:00;208;513;2791,08;2026;3;1;6;1;Tarde;13,418653846153846;2,4663461538461537
2026-03-01;1900-01-01 16:00:00;202;532;3118,15;2026;3;1;6;1;Tarde;15,436386138613862;2,633663366336634
2026-03-01;1900-01-01 17:00:00;284;731;4334,14;2026;3;1;6;1;Tarde;15,26105633802817;2,573943661971831
2026-03-01;1900-01-01 18:00:00;293;762;4692,52;2026;3;1;6;1;Noite;16,01542662116041;2,6006825938566553
2026-03-01;1900-01-01 19:00:00;291;653;4355,72;2026;3;1;6;1;Noite;14,96810996563574;2,2439862542955327
2026-03-01;1900-01-01 20:00:00;26;61;629,24;2026;3;1;6;1;Noite;24,201538461538462;2,3461538461538463
