mes;hora;qtd_clientes;qtd_produtos;total_venda
2026-01;08:00;0;0;0.00
2026-01;09:00;9;15;119.70
2026-01;10:00;26;57;333.55
2026-01;11:00;83;157;1129.32
2026-01;12:00;129;280;1774.58
2026-01;13:00;132;327;1794.10
2026-01;14:00;164;433;2291.77
2026-01;15:00;124;332;1927.40
2026-01;16:00;90;232;1278.38
2026-01;17:00;127;319;1767.23
2026-01;18:00;145;336;2068.87
2026-01;19:00;140;378;1951.15
2026-01;20:00;147;404;3054.26
2026-01;21:00;15;26;230.32
;;;;
2026-02;08:00;2;5;41.54
2026-02;09:00;12;44;227.84
2026-02;10:00;97;199;1334.07
2026-02;11:00;186;474;2884.43
2026-02;12:00;302;747;4404.59
2026-02;13:00;299;749;4131.90
2026-02;14:00;250;597;3222.33
2026-02;15:00;206;563;3301.65
2026-02;16:00;195;481;2470.31
2026-02;17:00;203;475;2807.33
2026-02;18:00;251;683;3894.10
2026-02;19:00;259;677;3922.35
2026-02;20:00;177;419;2647.66
2026-02;21:00;20;56;508.35
;;;;
2026-03;08:00;5;12;55.21
2026-03;09:00;53;146;868.55
2026-03;10:00;183;439;2968.63
2026-03;11:00;285;730;4409.56
2026-03;12:00;308;886;5081.70
2026-03;13:00;223;556;3218.43
2026-03;14:00;175;441;2542.65
2026-03;15:00;208;513;2791.08
2026-03;16:00;202;532;3118.15
2026-03;17:00;284;731;4334.14
2026-03;18:00;293;762;4692.52
2026-03;19:00;291;653;4355.72
2026-03;20:00;26;61;629.24
